record_id,time,victim,narrative,date_raw,source_page,notes
400,2314 HRS.,,"subject: lindsey, tavares (m/22) of the 5900 block of west superior in chicago was a passenger in a vehicle stopped for traffic at the above location. a search of the vehicle found a loaded handgun. a name check revealed subject to have an active cook county no bond warrant for violation of probation for pcs. subject charged with aggravated uuw, possession of a handgun no serial number and for the outside warrant. the subject was held for bond hearings.",06-JUN-23,2.0,
401,. 0915 HRS.,OAK PARK RESIDENT,"victim observed a m/b, 5'10 - 6'02, 16 - 25 yoa, wearing black shorts partially underneath a 2017 orange kia sportage and confronted him. a second subject, described as a m/b, 16 - 25 yoa, medium build, 5'06 - 5'09 wearing a white tank top, red/green baseball hat with black shorts, exited a black vehicle and displayed a gray metallic handgun that was underneath his shirt. both offender(s) entered the vehicle and fled s/b on euclid.",06-AUG-22,2.0,
402,1903 HRS.,CHICAGO RESIDENT,"the offender: m/b, 6'0"", medium build, wearing a blue mask and all black clothing entered the business and began grabbing miscellaneous items from the display before the offender walked behind the counter and opened cash registers. he pointed a gray/black handgun at the victim before he removed usc from the registers. offender fled on foot eastbound garfield to a waiting tan mini van occupied by other subjects and drove away southbound maple. loss estimated at $1,500.00.",21-DEC-21,2.0,
403,2038 HRS,MOBILE MART-622 MADISON,"offender 601 heavy build lsw a black hooded sweatshirt, black jogging pants, black shoes, blue face mask and work gloves entered the store with a gun in his hand. once inside the subject walked behind the counter and demanded money. the clerk complied placing $300 usc from the register into a plastic bag. the offender then removed approximately $100 usc from a tackle box behiind the counter. offender exited the store and was last seen w/b from the enterance. loss estimated at $400.",09-SEP-21,4.0,
404,1416 HRS,OAK PARK RESIDENT,"offender #1 and offender #2 m/b's, 20's, 5'10""-6'00"", slim build, black hoodie, black pants, black shoes approached the victim while she was sitting in her silver nissan pathfinder. offender #1 displayed a handgun and told her to get out of the vehicle. when the victim questioned the offenders, offender #1 struck the victim before the offenders reentered their silver or gray older model vehicle and left the area s/b on kenilworth. no reported loss.",23-MAR-18,1.0,
405,1625 HRS.,#1: OAK PARK RESIDENT #2: STATE OF ILLINOIS,"walker, roberta (f/51) of the 800 block of s. pulaski rd, chicago, il, was stopped and arrested after ring camera footage positively identified the subject as the offender in the theft that occurred in the 600 block of n. humphrey ave. also, a name check revealed a warrant out of cook county for theft. the subject was transported to the station, processed, issued a notice to appear citation for the theft and held for bond hearings on the cook county warrant.",20-DEC-25,3.0,
406,1709 HRS.,STATE OF ILLINOIS,"subject: arroyo, diaz leonel m/60 1500 block n. mason ave, chicago, il was the driver of a vehicle who was stopped for a traffic violation. arresting officers approached and observed the subject to have blood shot eyes, slurred speech and containers of alcohol inside the vehicle. the subject was arrested, transported to the station, processed, charged with dui, issued citations for traffic violations, was also issued a notice to appear citation and later released.",04-JUL-25,1.0,
407,2047 HRS.,CHICAGO RESIDENT,offender(s) - two m/b's armed with firearms approached the victim as the victim exited a business. an offender removed the victim's keys and then removed the victim's white 2014 jeep grand cherokee. victim's vehicle was last seen south on austin followed by a darker grey audi q7 occupied by two other m/b subjects. on 24-jan-24 at 2154 hrs. the jeep was located by the illinois state police abandoned at i-290 and kostner in chicago. no apprehensions.,24-JAN-24,1.0,
408,1200 - 1225 HRS.,OAK PARK BUSINESS,"person(s) unknown by means of a prying type tool forced open and gained entry to the victim's red 2016 chevrolet express while it was parked at the above location. once inside, offender(s) removed a red and black milwaukee tool case which contained (1) red/black milwaukee sawzall, (1) red/black milwaukee hammer drill, (1) red/black milwaukee impact drill, one red/black milwaukee fine saw and (6) rechargeable milwaukee batteries. estimated loss $1,900.00.",07-FEB-23,1.0,
409,2039 HRS.,OAK PARK RESIDENT,"subjects #1-#3: male juveniles, chicago residents; subject #4: male juvenile, rantoul resident were stopped and arrested after being positively identified as the offenders in the attempt aggravated robbery that occurred 200 block of s. scoville. offenders knocked victim to the ground and demanded money before victim was able to defend himself and scare offenders off. all offenders were located and arrested.",17-JUL-21,2.0,
410,2155-2159 HRS.,OAK PARK RESIDENT,"the victim was approached by offender #1: m/b, late teens to early 20's, 5'10"", slim build, wearing a black face mask, black hooded sweatshirt and offender #2: m/b, late teens to early 20's, slim build, wearing a black face mask, red hooded sweatshirt with gray stripe. the offenders removed the victim's vehicle key then entered the 2019 black honda crv, along with offender #3: wearing a light hooded sweater, and drove away from the scene. loss estimated at $24,000.00",30-MAY-20,3.0,
411,0901 HRS.,OAK PARK RESIDENT,"subject(s) unknown by unknown means shattered the back passenger side window and gained entry to the victim's black 2019 mercedes-benz glc 300 while parked at the above address. once inside, the subject(s) removed a green military issued duffle bag containing the following: oakley sunglasses, oakley boots, helmet, hat, (2) pants, (5) t-shirts, vest, gun holster, plate carrier, sleeping mat, sleeping bag and other misc. items. estimated loss and damage $3,000.00.",20-JUN-24,1.0,
412,1902 HRS.,STATE OF ILLINOIS,"subject: scott, ronald d. (m/32) of the 3500 block of castle point in south bend, in was stopped and positively identified as the offender in the reckless discharge of a firearm that occurred in the 200 block of chicago ave. the arresting officers recovered a firearm from inside the subject's waistband. the subject was arrested, transported to the station, processed and also charged with endangering the life of a child and held for bond hearings.",11-MAR-23,2.0,
413,2045 HRS.,OAK PARK RESIDENT,"offender: m/b, 30-35yoa, 6'00"", thin build, wearing a dark hooded sweatshirt, a dark ""yankees"" hat, and dark pants. the victim was approached from behind by the offender who placed a hard object against his back and demanded the victim's wallet. the victim gave the offender his brown calvin klein wallet containing $50 u.s.c., i.d., and credit cards. the offender then removed the victim's 10k gold 28"" cuban linked chain from his neck and fled e/b. estimated loss $1,590.00",27-SEP-18,1.0,
414,1905 HRS,OAK PARK RESIDENT,"offender m/h 20's 509 no further. the victim was walking from her detached garage to her house when the offender drove up next to her in an older model purple sedan vehicle with loud exhaust, exited the driver side, approached the victim and removed her purse from her left arm. the offender then re-entered his vehicle and was last seen w/b on lemoyne. the victim had a hp lap top computer and a black dkny wallet containing credit cards inside her purse. loss estimated at $1,000.",22-MAR-22,2.0,
415,1548-1558 HRS.,OAK PARK RESIDENT,"a witness observed a grey suv (possibly jaguar f-pace, no further) parked on the westside of euclid ave. two (2) m/b's, medium build, wearing all black winter clothing with face coverings, exited. the offenders broke out the driver's window and gained entry to the victim's white dodge ram van. once inside, the offenders removed numerous ""milwaukee"" tools. the offenders then re-entered the grey suv and fled in an unknown direction. loss estimated at $5,550.00.",23-JAN-26,1.0,
416,1817 HRS.,CHICAGO RESIDENT,"two females were involved in a verbal dispute inside a business when the victim got involved. two unknown m/b's then entered the business and brought the victim outside where they began to batter him. subjects removed the victim's apple iphone 13, and silver ap watch. victim discovered his keys were missing and stated one of the females drove off in his white 2016 mercedes-benz that had no registration and that he did not recall where he had parked. estimated loss is unknown.",17-NOV-25,1.0,
417,1045-1130 HRS.,BERWYN RESIDENT,"person(s) unknown by possible means of an unlocked door gained entry to the victim's - white 2015 ford transit cargo van while parked at the above address. once inside, offender(s) removed the following tools: (1) dewalt cordless framing nailer, (1) dewalt cordless finish nailer, (1) dewalt hammer drill, (1) dewalt ratchet drill, (1) dewalt circular saw, (1) dewalt sawzall and (6) dewalt batteries (unknown serial numbers at time of report). estimated loss $1,790.00.",18-JUN-25,1.0,
418,2242 HRS.,OAK PARK BUSINESS,"kelly, brandon r. m/27 of the 5800 block of crocker st, los angeles, ca, was stopped and arrested for retail theft after he was positively identified as the subject who removed items from the display shelf inside the business and exited without paying. also, a name check revealed a warrant out of cook county for retail theft. the subject was then transported to the station, processed, issued a notice to appear citation and was held for bond hearings.",03-AUG-24,3.0,
419,1742 HRS. & 1911 HRS.,DUNKIN DONUTS / 6820 W. ROOSEVELT,"subject #1 & #2: male juveniles, chicago residents were arrested for the armed robbery that occurred at the dunkin donuts on 05-aug-23 at 1731 hrs. subjects were positively identified as the offenders that entered the business, pointed a handgun at the employees, demanded and removed u.s.c. from the cash registers. the subjects were also charged with aggravated unlawful use of a weapon, and possession of a stolen motor vehicle.",05-AUG-23,3.0,
420,1340 HRS.,BERWYN RESIDENT,"the victim was on foot when a gray sedan with tinted windows stopped and the m/b offender jumped out of the vehicle, grabbed the victim's shoulder and pointed a black handgun at her while demanding her purse and phone. the victim advised she observed a third m/b offender pointing a black handgun at her from the backseat. the vehicle was last seen northbound on grove ave. the victim's purse was recovered on the street. estimated loss unknown at the time of the report.",18 OCT 22,2.0,
421,0440-0447 HRS.,CHICAGO RESIDENT,"offender #1: approx. 15-16 yoa, 5'11 w/ short black hair wearing black pants and a white shirt and offender #2: 5'6 w/ black dreadlocks wearing black pants and a black hoodie. offender #1 opened the driver side door of the victim's vehicle and began to punch the victim, while ordering him to exit the vehicle. offender #2 implied that he had a firearm and threatened the victim. the victim brandished a small knife and the offenders fled taking victim's wallet.",07-AUG-22,3.0,
422,1437 HRS.,STATE OF ILLINOIS,"witnesses related to hearing muliple gunshots in the rear alley at 61washington blvd. nine (9) ""9mm luger hornady"" shell casings were recovered. additionally, another witness related, while standing in the 400 block of s. taylor ave, he observed a m/b subject with a black handgun, running eastbound in the south washington blvd alley from taylor st. six (6) to seven (7) shots were fired and the same subject continued running eastbound in the alley.",31-DEC-24,1.0,
423,2043 HRS.,OAK PARK RESIDENT,"the victim was seated in her 2021 subaru forrester when the m/b offender approached her front passenger side door and requested to use her cellphone. the victim complied and the offender reached inside the vehicle, unlocked the door and sat in the passenger seat. the offender removed the victim out of her vehicle by force. the vehicle was located in the 5500 block of west cortez ave. in chicago. total estimated loss was unknown at the time of the report.",06-MAR-23,2.0,
424,1000-1630 HRS,OAK PARK RESIDENT,person(s) unknown entered the residence by means of using a pry type tool to the front door. the back door had damage also as the rear window ledge and the key lock box that is located to the back door was completely broken. once inside offender(s) removed a black blue tooth speaker. victim related the house is under renovation and believes someone might be staying inside due to items being left around the house that don't belong to him. loss estimated at $730.,03-MAR-22 THRU 04-MAR-22,3.0,
425,2330 HRS.,CTA/728 SOUTH BLVD.,"video surveillance footage showed the offender: m/b, 30 yoa, 6'00"", heavy build, wearing a black mask, black coat, black pants, black shoes and carrying a black backpack boarded the train at 1116 south blvd. while traveling eastbound he began kicking the windows. the offender then removed a metal hammer from the backpack and began striking windows that resulted with fourteen (14) broken windows. damage estimated at $5,507.93.",26-FEB-22,3.0,
426,1356 HRS.,OAK PARK RESIDENT,"offender m/b, approx. 30 yoa, last seen wearing a black knit cap, camo colored jacket, black pants and black shoes removed 8 packages from the front porch of the residence. the packages contained a black vintage coat with brown fur around the collar, a christmas doll, a men's black champion sweat pants, a griswold christmas sweater, green bb women's coat, pink flamingo christmas sweater, orange trading men's flannel, and a pair of gray ugg boots. estimated loss $330.00.",03-DEC-21,1.0,
427,2200 - 0630 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means broke the rear passenger side window to gain entry to the victim's vehicle. once inside, the offender(s) ransacked the interior and trunk removed a grey jansport backpack, black rayban sunglasses, brown rayban sunglasses, white apple tablet, forest green motorcycle helmet, silver sparkle motorcycle helmet, brown martin 00-db guitar, red gibson sg standard guitar while parked, at the above address. estimated loss $4,605.00.",18-AUG-19 - 19-AUG-19,1.0,
428,1015 HRS,CHICAGO RESIDENT,"offender: m/b, 20's, 5'09, 165 lbs clean shaven wearing dark clothing entered the driver's seat of the victim's silver 2009 lincoln mdx and was confronted by the victim who observed an unk type handgun in the waistband of the offender. the victim was able to pull the offender out of the vehicle at which time the offender entered the passenger side of a small dark color suv that fled in an unk direction. no estimated loss at time of report.",10-DEC-18,1.0,
429,1840,CHICAGO RESIDENT,"the victim related he parked his grey chevy impala 4dr in the parking lot at the above location and left it running and unattended. a newer grey colored volkswagen jetta with tinted windows pulled up and parked next to the victim's vehicle. a m/b 18-23yoa thin build short afro hair style lsw a red and white striped t-shirt exited the front passenger seat and entered the victim's vehicle and fled e/b on madison with the other car following. loss estimated at $6,000.",07-AUG-18,3.0,
430,1730-1731 HRS.,UNIVERSITY PARK RESIDENT,"person(s) unknown, by unknown means, shattered the rear passenger side window to gain entry to the victim's black kia forte. once inside, the offender(s) damaged the ignition system in an attempt to remove said vehicle. during the attempt, the vehicle's alarm system activated, and the witness observed a light-colored sedan (that was parked just north), drive away from the scene northbound humphrey ave. estimated damage is unknown at this time.",01-JAN-26,1.0,
431,0116 HRS,OAK PARK RESIDENT,"perry, antonio m/48 of the 100 block of n kenilworth in oak park was arrested at the above location on signed complaints for criminal damage to vehicle which occurred on 15-apr-25. subject was processed, given a citation and notice to appear. a namecheck also showed subject to have not registered as a violent offender. see report 25-2067. subject was also processed on this charge given a citation and notice to appear and released from the station.",28-APR-25,2.0,
432,2200-0440 HRS.,OAK PARK RESIDENT,"person(s) unknown by possible means of an unlocked door gained entry to the victim's blue 2014 nissan pathfinder parked outside and removed a bicycle lock, a maintenance log book and usc. offender(s) then used garage door opener to gained access to the garage and ransacked a black 2018 mercedes -benz glc300 and removed usc. offender(s) then removed a women's red rockhopper specialized mountain bicycle and an orange men's rei mountain bicycle . total estimated loss $1,000.00.",24-OCT-21 - 25-OCT-21,1.0,
433,0800-1400 HRS.,JOLIET BUSINESS,"person(s) unknown by means of the passenger's sliding door gained entry to the victim's 2022 mercedes benz sprinter 2500, while the vehicle was parked at the above address. once inside, offender(s) removed a predator 5000w generator, a red milwaukee impact wrench, a makita rotary hammer, a red milwaukee max rotary hammer, a bosch rotary hammer and a milwaukee brushless cordless hammer drill impact driver combo kit. total estimated loss $4,300.00.",14-AUG-23,1.0,
434,1057-2011 HRS,OAK PARK RESIDENT,"person(s) unknown entered the victim's apartment by possible means of the bathroom window. victim observed on camera that at 1057hrs and 1628hrs three subjects two m/b offenders and one f/b offender were inside her apartment removing items. offender(s) removed a roomba vacuum, air fryer, portable ice maker, lg flat screen television, apple macbook pro laptop, apple ipad, slow cooker, furbo camera, lg camera and a dyson vacuum. loss estimated at $5,400.",22-SEP-22,3.0,
435,1431 HRS,TARGET / 1129 LAKE WALGREENS / 811 MADISON NA,"subject: walker, quinyeta d. (m/37) of the 2400 block of mannheim rd. franklin park, il. was arrested for a retail theft that occurred on the 800 block of madison. subject was also charged with a retail theft that occurred on 28-jul-24, on the 110 0 block of lake. subject was found to have three active warrants out of cook county for retail theft and one warrant out of dupage county for poss ession of a controlled substance.",,,
436,1710 HRS.,OAK PARK RESIDENT,"begoun, samantha j. f/37 of the 200 block of s. maple ave, oak park, il was involved in a verbal altercation with her mother that occurred in the 200 block of s. maple ave. a name check of the subject revealed an active order of protection against her for victm's protected address. also, the name check revealed an idoc warrant for parole violation. the subject was then arrested, transported to the station, processed and held for bond hearings.",04-AUG-24,4.0,
437,1800 - 0200 HRS.,OAK PARK RESIDENT,"person(s) unknown, by possible means of an unlocked door gained entry to the victim's toyota sienna. once inside, the offender(s) removed a purse that contained an apple air tag, a wallet, credit cards, debit card, an engagement ring, and twin diamond bands. the victim tracked her purse to the 1300 block of w. cullerton in chicago where an unknown male turned over the purse and related he found the purse at a mcdonalds in chicago. estimated loss is $300.00",01-SEP-23 - 02-SEP-23,1.0,
438,2210 HRS.,#1: CHICAGO RESIDENT #2: STATE OF ILLINOIS,"subject: mack, kijuan (m/22) of the 3300 block of west congress in chicago was arrested as the driver in the victim's kia that was reported stolen out of chicago. he was found to be in possession of a semi-automatic handgun. a name check revealed an isp warrant for traffic and an idoc warrant for parole violation. the subject was also charged with aggravated uuw, possession of firearm by a felon and held for bond hearings.",25-SEP-22,13.0,
439,1509 HRS.,7-ELEVEN / 661 SOUTH BLVD.,"offender: m/b, 6'0""- 6'1"" athletic build, last seen wearing a solid red over solid white jacket, with a blue flannel shirt underneath, blue jeans, black boots, white surgical mask and light blue surgical gloves. offender entered the business with his right hand in his jacket pocket implying he had a weapon and demanded u.s.c. from the register. the offender received u.s.c. and fled the business on foot last seen e/b on south blvd. estimated loss $60.00",15-APR-20,2.0,
440,2200 - 0000 HRS.,OAK PARK RESIDENT,"on 16-aug-25, a m/b, riding a dark colored bike gained entry to the victim's apartment building lobby. once inside, subject entered the laundry area and removed a bag from the trash can and concealed a black bicycle and delivered amazon packages leaving the packages behind. on 20-aug-25, the same subject damaged the door lock by unknown means, and once again gained entry to the victim's building. subject then removed delivered amazon packages. estimated loss is unknown.",16-AUG-25 - 20-AUG-25,1.0,
441,1150 HRS.,STATE OF ILLINOIS,"offender: mena, andres male, 29yoa of 5000 block n. albany ave, chicago, il walked into the oak park p.d. and attempted to retrieve his firearm that was being held for safekeeping. investigation revealed, on 31-mar-25, the subject's firearm was located inside an unlocked red vehicle that was parked (possibly abandoned) in the fenwick parking lot. the subject was later arrested, charged, processed, issued a notice to appear citation and was released.",15-APR-25,1.0,
442,2210-2214 HRS.,ORLAND PARK AND OAK FOREST RESIDENT,"a male subject approached the victims from behind and stated ""give me everything or i'll shoot you"", while holding a black handgun in the front pocket of his sweatshirt. the victims complied and handed over usc, id cards, debit card, miscellaneous personal items, a brown wallet containing id cards, usc and personal items. the subject then fled the scene on foot and was last seen in the south blvd alley from euclid ave. loss estimated at $1,100.00.",18-NOV-24,2.0,
443,1900-0423 HRS,MELROSE PARK RESIDENT,"person(s) unknown removed the victim's silver 2017 hyundai elantra which was parked at the above location by unknown means. the vehicle was found unocuppied blocking traffic at augusta & austin blvd with a broken rear passenger side window and the steering column was peeled at 0423 hrs. the vehicle was towed to ohare towing and the victim was contacted about her vehicle. the vehicle was never entered into leads. damage estimated at $2,000.",19-JUL-24 & 20-JUL-24,2.0,
444,0250 HRS.,TWO OAK PARK RESIDENTS,"offender(s) - four m/b's exited a dark blue sedan while armed with a rifle and a hand gun and demanded the victim's property. offender(s) removed the victim's purse that contained two cell phones, and a wallet that contained $500 u.s.c., misc. identification and credit cards. offenders re-entered their vehicle and were last seen driving towards north ave. estimated loss $700.00. the victim's purse and contents were later located on the 800 block of fair oaks.",24-SEP-23,3.0,
445,0000-1641 HRS.,OAK PARK RESIDENT,"person(s) unknown, by use of a pry type tool to the southside window to gain entry to the victim's garage. once inside, the offender(s) removed a black ""pelican"" case containing ciat-londbarde cocoquantus, strymon volante, red panda context, red particle, behringer mixer, american sound pedal, planet waves tuner, voodoo labs power supply, serge synthesizer random sourse, a space heater and a black/white ""cannondale mountain bike. loss estimated at $8,016.00.",02-OCT-21/03-OCT-21,3.0,
446,1009 HRS,CHICAGO RESIDENT,"subjects: walter, monica l., 33 yoa, of 2700 block w. harrison, chicago il and hamilton, tavares d., 30 yoa, of 100 block s. leamington, chicago il were arrested for criminal trespass to motor vehicle. a leads check revealed walter to have a suspended driver's license, as well as three warrants from bloomingdale, dupage county, and orland park. the green 1999 toyota corolla that was stolen out of oak park on 26-dec-17 at 1535 hrs was recovered.",28-DEC-17,1.0,
447,2316-2320 HRS.,FOREST PARK RESIDENT,"person(s) unknown, by means of an unlocked door, entered and drove away in the victim's running (keys in ignition) blue 2008 toyota camry. video footage showed at 2316 hrs, the offender: m/possibly black, medium build, medium height, wearing a large puffy jacket and black pants with two (2) white stripes down the side, enter the victim's toyota and drive away eastbound madison st. the vehicle was entered into l.e.a.d.s. loss estimated at $2,300.00.",21-JAN-26,2.0,
448,0900-0904 HRS.,OAK PARK RESIDENT,"offender (no further) was observed on ring camera in a white vehicle (no further) park next to the victim's - white 2008 chevy express 2500 work van then exit the white vehicle and enter the victim's work van, by means of a closed but unlocked front driver side door. once inside, the offender removed a black laptop bag containing (3) check books, a date book and usc. the offender then entered the white vehicle and fled the scene. estimated loss $515.00.",02-SEPT-25,1.0,
449,0449 HRS.,AB OAK PARK INC. / 6415 NORTH AVE.,"five male subjects exited a grey 2015 jeep and approched the business throwing a rock at the glass causing the glass to break. four offenders entered the business while the fifth stood as the lookout. all offenders exited the business and entered the awaiting vehicle, then drove westbound north ave. from harlem ave. the offender(s) were last seen i290 east bound at independence. vehicle has been entered into l.e.a.d.s. estimated loss unknown at time of report.",24-AUG-25,5.0,
450,0148 HRS.,PALATINE RESIDENT,"the victim (ride share driver) arrived the passenger's destination and parked his blue 2019 honda accord. the offender: m/b, early 20's, thin build, wearing a black face mask, black hoody, black shoes exited, displayed a black handgun, approached the victim from another vehicle and demanded the victim's key fob. the victim complied. the offender then entered the honda and drove away. both vehicles drove from the scene. loss estimated at $25,500.",06-JUL-22,2.0,
451,1412 - 1418 HRS.,OAK PARK RESIDENT,"the offender: m/b, last seen wearing a dark skull cap, dark shirt and orange jacket, by means of an unlocked side door, gained entry to the above address. once inside, the offender removed a black/gray dell lap top and a black northface backpack containing assorted cables and headphones. the offender then exited the residence through the front door leaving in a southeast direction across kenilworth headed toward north blvd. estimated loss is $1,300.00.",30-MAR-18,1.0,
452,0718 HRS,TWO OAK PARK RESIDENTS NA,"subject: bowles, jerry 47 yoa , of the 200 block of s. sacramento, chicago , il. was arrested for a residential burglary that occurred on the 500 block of s. humphrey after he was observed removing various tools and household items out the rear door. additionally, offender was arrested for a the ft that occurred on the 500 block of lyman where he removed a light sensor from the rear yard . estimated loss unkno wn at this time. shift",,,
453,0202 HRS,CHICAGO RESIDENT,"the victim, a food delivery driver, was making a delivery at the above location when the victim was met outside by three m/b subjects and a f/b subject. the victim was then attacked from the rear and once on the ground, the offenders went through the victim's pockets and removed the keys to the victim's red 2013 lexus gs350 and the victim's lg notebook smartphone. the offenders fled in the victim's vehicle in an unknown direction. loss estimated at $25,800.",02-SEP-22,1.0,
454,1400 - 1415 HRS.,OAK PARK RESIDENT,"offender(s) unknown removed a dark green raleigh 26"" mountain bicycle, a dark green giant 26"" mountain bicycle, two 700c aluminum bicycle wheels, three bicycle air pumps, a black table lamp, a compaq desk pro desktop computer, two flat screen computer monitors, miscellaneous clothing, a 12""x18"" wall mirror, a hamm`s beer sign, a blue tote bag/cart, a sony portable radio, a westinghouse portable radio, and a cassette player from the vicitm's room. estimated loss $500.00",17-JAN-19,1.0,
455,1431 HRS.,TARGET / 1129 LAKE WALGREENS / 811 MADISON,"subject: walker, quinyeta d. (m/37) of the 2400 block of mannheim rd. franklin park, il. was arrested for a retail theft that occurred on the 800 block of madison. subject was also charged with a retail theft that occurred on 28-jul-24, on the 1100 block of lake. subject was found to have three active warrants out of cook county for retail theft and one warrant out of dupage county for possession of a controlled substance.",02-OCT-24,3.0,
456,2346-2349 HRS,OAK PARK RESIDENT,"a male subject was observed on video entering her unlocked black 2024 honda accord sport hybrid which was parked in the rear of the above location. the subject then exited the vehicle and fled s/b in the rossell/elmwood alley on a bike. the subject then returned on foot and rentered the vehicle. the subject removed the vehicle and was last seen e/b in the alley then n/b on rossell in the vehicle. the vehicle was entered into leads. estimated at $41,000.",08-SEP-24,2.0,
457,0841 HRS.,"BRINKS INC. / 2508 WESTERN AVE, SOUTH BEND IN. CHICAGO RESIDENT","offender(s): two m/b's, wearing ski masks, all black clothing. the offenders approached the victim while he was loading an atm and displayed a handgun. offenders removed u.s.c. and struck the victim. victim was forced to open the armored truck at which time an offender also removed u.s.c. from the truck. both offender(s) entered a black audi sq5 and fled the scene with a third unknown offender. estimated loss $96,000.00",12-DEC-22,1.0,
458,0250 HRS.,OAK PARK RESIDENT,"a witness observed the victim's silver in color honda accord on a jack and three (3) m/b teens, early 20's (#1: 6'02"", 160 lbs, wearing a gray hooded sweatshirt; no description on other two offenders) attempting to remove the catalytic converter. when the offenders observed the witness, they entered a silver in color vehicle, no further where a fourth was driving and fled the scene eastbound garfield. estimated damage to the converter is $500.00.",15-AUG-22,3.0,
459,2327 HRS,WALGREEN-811 MADISON,"offender m/b late 20's 6-ft medium build lsw black hoodie, black joggers, black face covering and grey gloves. the cashier related the offender walked up to register and displayed a black handgun from his pocket and told her to open the register. the manager of the store came to see what was happening and the offender pointed the gun at him and demanded the cashier open the register again before he ran out of the store without getting any money. no loss reported.",06-MAY-22,1.0,
460,1736 HRS.,CHICAGO RESIDENT,"offender m/b, approximately 30 yoa, 5'6, last seen wearing a brown sweater, had an orange backpack on his back with a black umbrella sticking out of it. while exiting a train, the offender intentionally turned and the victim was struck in the face with the umbrella. the victim, a cta employee advised the offender has had previous incidents with other cta employees. the offender was last seen heading east bound on north blvd towards the metra station.",16-APR-22,3.0,
461,1531 HRS.,DOLLAR TREE - 6226 ROOSEVELT RD.,"offenders: #1 f/b, medium build with blonde hair last seen wearing a blue surgical face mask, grey jacket, black pants, and timberland boots; #2 f/b, 25 yoa, medium build, with black hair last seen wearing a black cloth face mask, white jacket, and black pants removed merchandise and exited without payment. offenders left in a black chevy malibu bearing ga/reg#rkr7654, which was last seen northbound on highland ave. estimated loss $100.00.",25-MAR-21,1.0,
462,0013 - 0020 HRS,OAK PARK RESIDENT,"offender m/b, 30-40, wearing white towel on his head, blue shirt draped across his shoulders, blue jeans, white socks, and black shoes was observed via security footage slide through the locked security gate into the secured resident only area and was then recorded trying numerous vehicle doors and trunks. the offender by unknown means was able to open the trunk of a vehicle parked at the above address. no reported loss at time of report.",29-JUL-19,3.0,
463,1940-1945 HRS,CHICAGO RESIDENT,"offender #1: m/b, 6'01, medium build, 20's, wearing a long sleeve gray shirt ordered the victim to hand him usc, at which time the victim complied. offender #2: 5'09, 20's, heavy build; wearing a tan long sleeve shirt checked the victim's pockets for further items. both offenders then entered the victim's vehicle which had been left running and fled the scene s/b on austin with the victim's apple iphone 8 which was left inside the vehicle. estimated loss $16,100.00",10-JUL-19,1.0,
464,1850 - 1855 HRS.,OAK PARK RESIDENT,"offender#1: f/b, 30-35 yoa, 5'06"", black hair, wearing a black coat and brown furry boots and offender#2 f/b, 30-35 yoa, 5'09"", heavy set, wearing a black shower cap, and a red ""gap"" hooded shirt removed 5 pairs of adult jeans, 3 adult hooded shirts, unknown number of adult pajama sets, unknown number of adult underwear, and various children`s clothing. offender(s) then exited the store past the last point of purchase without payment. estimated loss is unknown.",06-JAN-19,3.0,
465,1643 HRS.,#1- OAK PARK RESIDENT #2- OAK PARK RESIDENT,"offender(s) unknown by unknown means gained access to the garage at the above location and entered the 2018 subaru forester and the 2019 honda. once inside, the offender(s) ransacked the interior of both vehicles and removed usc and a wallet which contained a driver's license (dl), insurance card and gift cards from the subaru and removed a dl and citibank credit card from the honda. total estimated loss $405.00.",08-JUN-23,1.0,
466,2145 HRS.,CHICAGO RESIDENT,"offender: m/b, 14-18 yoa, 5'04"", 115 lbs., hair pulled into dreads, lsw a dark hooded sweatshirt and dark jeans entered the victim's vehicle and removed a black apple i-phone. the subject then entered a red cadillac occupied by two m/b's which fled n/b on harlem. the vehicle stopped at harlem and garfield and the three occupants exited the vehicle and entered the cta station. the cadillac was discovered to have been stolen from chicago. estimated loss $800.00",02-MAY-19,1.0,
467,1500-1400 HRS.,VICTIM #1 - OAK PARK RESIDENT VICTIM #2 - OAK PARK RESIDENT,"offender(s) unknown gained entry to the residence through the shut, but unlocked window. once inside, the offender(s) removed a red leather wallet containing misc. id's and credit cards and a set of house keys with a key fob to the gray 2016 mazda 6. the offender(s) then removed the vehicle that was parked on the street at the above described location. total estimated loss $20,050.00.",27-JUNE-23 - 28-JUN-23,2.0,
468,. 2100 - 0100 HRS.,OAK PARK RESIDENT,"victim states while sitting in his parked vehicle he was approached by an unknown m/b, late teens, wearing a blue/white surgical mask and hoodie. the subject opened the passenger side door, displayed a silver handgun and demanded the victim's property. the offender removed usc that was on the passenger seat and ransacked the glove compartment, while attempting to remove items from the rear passenger seat, the victim was able to drive off. estimated loss $204.00.",13-SEPT-22 - 14-SEPT-22,1.0,
469,1330-1335 HRS.,ELMHURST RESIDENT,"offender approximately 40 yoa, 5'10, heavy build, short dark colored hair, last seen wearing a white t-shirt, black basketball shorts and blue face mask gained entry to the victim's unlocked 2018 jeep cherokee while parked and removed the victim's black drawstring bag. the bag contained a pair of toms shoes and a white colored phone charger. the offender then entered into a maroon pontiac aztek and fled southbound on east ave. estimated loss $100.00.",20-JUL-21,2.0,
